session_id,startTime,endTime,gender,ProductList1,ProductList2,ProductList3,ProductList4,ProductList5,ProductList6,ProductList7,ProductList8,ProductList9,ProductList10,ProductList11,ProductList12,ProductList13,ProductList14,,,,,,,,,,,,,,,,,,,,,,
u16159,15/12/14 18:11,15/12/14 18:12,female,A00002/B00003/C00006/D28435/,A00002/B00003/C00006/D02554/,A00002/B00003/C00006/D28436/,A00002/B00003/C00006/D28437/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u10253,16/12/14 14:35,16/12/14 14:41,male,A00001/B00009/C00031/D29404/,A00001/B00009/C00031/D02617/,A00001/B00009/C00031/D29407/,A00001/B00009/C00031/D29410/,A00001/B00009/C00031/D29411/,A00001/B00009/C00031/D25444/,A00001/B00009/C00031/D29418/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u19037,1/12/2014 15:58,1/12/2014 15:58,female,A00002/B00001/C00020/D16944/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u14556,23/11/14 2:57,23/11/14 3:00,female,A00002/B00004/C00018/D10284/,A00002/B00004/C00018/D10285/,A00002/B00004/C00018/D10286/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u24295,17/12/14 16:44,17/12/14 16:46,male,A00001/B00001/C00012/D30805/,A00001/B00001/C00012/D30806/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u20964,12/12/2014 15:31,12/12/2014 15:31,female,A00002/B00002/C00081/D25039/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u20981,5/12/2014 19:33,5/12/2014 19:34,female,A00002/B00011/C00180/D18487/,A00002/B00011/C00114/D18459/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u15947,9/12/2014 16:02,9/12/2014 16:06,male,A00002/B00001/C00059/D15254/,A00002/B00001/C00059/D00900/,A00002/B00002/C00002/D02063/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u18193,25/11/14 11:55,25/11/14 11:55,male,A00002/B00001/C00010/D06129/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u21820,6/12/2014 16:16,6/12/2014 16:17,female,A00002/B00001/C00010/D12841/,A00002/B00002/C00112/D20047/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
